T,H,PM2.5,E,current
34.055,73.33,18.0,26.91669458440245,0.1
32.725,77.17666667,22.0,26.34578682954449,0.1
31.33,82.05,21.0,25.54527846589267,0.12666666699999998
30.76,84.43166667,19.0,25.16171997254484,0.35166666700000004
29.75,88.175,21.0,24.767376185720604,0.865
28.49666667,92.99333333,19.0,24.07554042467402,2.055
28.02833333,93.92,20.0,23.87474233190054,3.175
27.63666667,95.89833333,21.0,23.78417903835231,6.353333332999999
27.63333333,94.39833333,24.0,23.891123789544615,5.106666667
27.475,94.08166667,19.0,23.4745771270595,3.88
27.21,94.43333333,17.0,23.221826508041815,3.7033333330000002
26.80333333,96.75833333,12.0,22.879442166790138,10.67833333
26.38,98.69833333,12.0,22.71795535314649,18.155
36.56440678,61.59491525,12.0,28.085637378794488,0.0
35.32833333,65.27,11.0,27.291500652915214,0.0
34.48666667,67.24333333,14.0,26.85315500267113,0.0
35.07833333,65.59833333,14.0,27.21624675727241,0.0
35.04166667,66.90166667,13.5,27.21502851525472,0.0
33.76666667,70.90833333,13.0,26.439750743017157,0.0
33.16833333,72.88333333,13.0,26.093778473052318,0.0
34.2,69.02333333,12.0,26.646994334667387,0.0
31.41833333,77.38666667,13.0,25.059330033345304,0.0
28.34166667,89.83833333,13.0,23.551020737570777,0.0
27.81,92.59833333,14.0,23.381149201042692,1.108333333
27.28,94.7,15.0,23.189814496886346,6.23
27.19833333,95.99333333,14.0,23.16528648618711,15.19666667
27.10833333,97.13,12.0,23.09509877696981,20.23833333
27.00166667,97.33833333,12.0,23.038205363612008,20.18666667
27.03166667,97.24833333,12.0,23.05246854408608,23.385
26.92833333,97.07333333,9.0,22.88606127729305,25.0
26.845,97.64333333,11.0,22.921779266001916,32.89166667
26.84166667,98.67333333,14.0,23.084387261746045,48.16
27.105,98.57333333,12.5,23.189770723731506,31.32166667
27.16333333,97.76166667,12.5,23.18236940174672,12.40333333
30.165,85.66666667,12.5,24.546626570030668,0.705
34.36166667,69.59166667,11.0,26.751081835143644,0.165
36.89333333,60.64,10.0,28.241355791327987,0.056666667000000004
36.04833333,62.42833333,11.0,27.71584770156149,0.07
35.21333333,65.52,11.0,27.218041151752455,0.1
36.52166667,62.12,10.0,28.018529112885382,0.09833333300000001
35.905,63.945,11.0,27.659154126165898,0.1
34.67833333,67.72666667,12.0,26.939675426912967,0.105
34.07333333,69.95666667,14.0,26.654433287788112,0.123333333
33.19833333,72.425,13.0,26.098018421344268,0.131666667
31.96666667,75.925,18.0,25.578578535720574,0.11333333300000001
30.89166667,79.08333333,15.0,24.84349743829767,0.171666667
28.545,89.09166667,11.0,23.580952515971425,1.048333333
27.84833333,92.84833333,12.0,23.34552994565262,2.745
27.55166667,94.26,13.0,23.26206840366855,3.74
27.31,95.61166667,11.0,23.109590888728373,4.89
27.18833333,96.77333333,12.0,23.126958312477928,6.321666667000001
27.08333333,97.34333333,10.0,23.02779213553537,7.003333333
26.79833333,98.24166667,10.0,22.894951219218896,10.28666667
26.82,98.73,10.0,22.936075036936902,9.531666667
26.84666667,98.66666667,10.0,22.949562122563126,7.795
26.43833333,99.60333333,8.0,22.69010309267552,39.805
26.405,100.55,10.0,22.77538693743753,281.075
26.755,99.69666667,10.0,22.948980873590404,307.3733333
32.21,77.17333333,10.0,25.50471961234671,30.825
35.98166667,63.57333333,12.0,27.729764818450494,0.806666667
37.585,58.515,10.0,28.67767882474103,0.09833333300000001
37.54666667,58.87666667,9.0,28.63799388259503,0.1
37.02666667,60.05,10.0,28.320131724648522,0.1
36.07166667,62.685,17.0,27.939085245815896,0.133333333
35.41833333,64.185,17.0,27.523890283038554,0.198333333
34.36333333,68.365,21.0,27.103560095798933,0.2
33.51333333,71.41,19.0,26.520829591939208,0.215
33.23666667,72.315,22.0,26.51565711259384,0.3
32.945,73.25166667,19.0,26.19532703287223,0.308333333
31.47833333,77.27666667,18.0,25.29899895160335,0.36166666700000005
29.04,86.825,18.0,24.07984928783816,1.161666667
28.05833333,92.10666667,16.0,23.601541314081473,11.25166667
27.665,94.305,15.0,23.416809009235227,24.15
27.23166667,96.11166667,20.0,23.481495815362727,38.68333333
27.02166667,97.42833333,24.0,23.666193571760246,42.06
26.985,97.52,17.0,23.244307218112567,31.145
27.185,98.43333333,14.0,23.28952127644348,48.25
26.98166667,99.37333333,14.0,23.21218248070135,35.97166667
